Survived,PassengerId,Name,Sex,Age,Pclass,Fare,Embarked
0,657,"Radeff, Mr. Alexander",0,,3,7.8958,S
0,658,"Bourke, Mrs. John (Catherine)",1,32,3,15.5,Q
0,659,"Eitemiller, Mr. George Floyd",0,23,2,13,S
0,660,"Newell, Mr. Arthur Webster",0,58,1,113.275,C
1,661,"Frauenthal, Dr. Henry William",0,50,1,133.65,S
0,662,"Badt, Mr. Mohamed",0,40,3,7.225,C
0,663,"Colley, Mr. Edward Pomeroy",0,47,1,25.5875,S
0,664,"Coleff, Mr. Peju",0,36,3,7.4958,S
1,665,"Lindqvist, Mr. Eino William",0,20,3,7.925,S
0,666,"Hickman, Mr. Lewis",0,32,2,73.5,S
0,667,"Butler, Mr. Reginald Fenton",0,25,2,13,S
0,668,"Rommetvedt, Mr. Knud Paust",0,,3,7.775,S
0,669,"Cook, Mr. Jacob",0,43,3,8.05,S
1,670,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",1,,1,52,S
1,671,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1,40,2,39,S
0,672,"Davidson, Mr. Thornton",0,31,1,52,S
0,673,"Mitchell, Mr. Henry Michael",0,70,2,10.5,S
1,674,"Wilhelms, Mr. Charles",0,31,2,13,S
0,675,"Watson, Mr. Ennis Hastings",0,,2,0,S
0,676,"Edvardsson, Mr. Gustaf Hjalmar",0,18,3,7.775,S
0,677,"Sawyer, Mr. Frederick Charles",0,24.5,3,8.05,S
1,678,"Turja, Miss. Anna Sofia",1,18,3,9.8417,S
0,679,"Goodwin, Mrs. Frederick (Augusta Tyler)",1,43,3,46.9,S
1,680,"Cardeza, Mr. Thomas Drake Martinez",0,36,1,512.3292,C
0,681,"Peters, Miss. Katie",1,,3,8.1375,Q
1,682,"Hassab, Mr. Hammad",0,27,1,76.7292,C
0,683,"Olsvigen, Mr. Thor Anderson",0,20,3,9.225,S
0,684,"Goodwin, Mr. Charles Edward",0,14,3,46.9,S
0,685,"Brown, Mr. Thomas William Solomon",0,60,2,39,S
0,686,"Laroche, Mr. Joseph Philippe Lemercier",0,25,2,41.5792,C
0,687,"Panula, Mr. Jaako Arnold",0,14,3,39.6875,S
0,688,"Dakic, Mr. Branko",0,19,3,10.1708,S
0,689,"Fischer, Mr. Eberhard Thelander",0,18,3,7.7958,S
1,690,"Madill, Miss. Georgette Alexandra",1,15,1,211.3375,S
1,691,"Dick, Mr. Albert Adrian",0,31,1,57,S
1,692,"Karun, Miss. Manca",1,4,3,13.4167,C
1,693,"Lam, Mr. Ali",0,,3,56.4958,S
0,694,"Saad, Mr. Khalil",0,25,3,7.225,C
0,695,"Weir, Col. John",0,60,1,26.55,S
0,696,"Chapman, Mr. Charles Henry",0,52,2,13.5,S
0,697,"Kelly, Mr. James",0,44,3,8.05,S
1,698,"Mullens, Miss. Katherine ""Katie""",1,,3,7.7333,Q
0,699,"Thayer, Mr. John Borland",0,49,1,110.8833,C
0,700,"Humblen, Mr. Adolf Mathias Nicolai Olsen",0,42,3,7.65,S
1,701,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1,18,1,227.525,C
1,702,"Silverthorne, Mr. Spencer Victor",0,35,1,26.2875,S
0,703,"Barbara, Miss. Saiide",1,18,3,14.4542,C
0,704,"Gallagher, Mr. Martin",0,25,3,7.7417,Q
0,705,"Hansen, Mr. Henrik Juul",0,26,3,7.8542,S
0,706,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",0,39,2,26,S
1,707,"Kelly, Mrs. Florence ""Fannie""",1,45,2,13.5,S
1,708,"Calderhead, Mr. Edward Pennington",0,42,1,26.2875,S
1,709,"Cleaver, Miss. Alice",1,22,1,151.55,S
1,710,"Moubarek, Master. Halim Gonios (""William George"")",0,,3,15.2458,C
1,711,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",1,24,1,49.5042,C
0,712,"Klaber, Mr. Herman",0,,1,26.55,S
1,713,"Taylor, Mr. Elmer Zebley",0,48,1,52,S
0,714,"Larsson, Mr. August Viktor",0,29,3,9.4833,S
0,715,"Greenberg, Mr. Samuel",0,52,2,13,S
0,716,"Soholt, Mr. Peter Andreas Lauritz Andersen",0,19,3,7.65,S
1,717,"Endres, Miss. Caroline Louise",1,38,1,227.525,C
1,718,"Troutt, Miss. Edwina Celia ""Winnie""",1,27,2,10.5,S
0,719,"McEvoy, Mr. Michael",0,,3,15.5,Q
0,720,"Johnson, Mr. Malkolm Joackim",0,33,3,7.775,S
1,721,"Harper, Miss. Annie Jessie ""Nina""",1,6,2,33,S
0,722,"Jensen, Mr. Svend Lauritz",0,17,3,7.0542,S
0,723,"Gillespie, Mr. William Henry",0,34,2,13,S
0,724,"Hodges, Mr. Henry Price",0,50,2,13,S
1,725,"Chambers, Mr. Norman Campbell",0,27,1,53.1,S
0,726,"Oreskovic, Mr. Luka",0,20,3,8.6625,S
1,727,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",1,30,2,21,S
1,728,"Mannion, Miss. Margareth",1,,3,7.7375,Q
0,729,"Bryhl, Mr. Kurt Arnold Gottfrid",0,25,2,26,S
0,730,"Ilmakangas, Miss. Pieta Sofia",1,25,3,7.925,S
1,731,"Allen, Miss. Elisabeth Walton",1,29,1,211.3375,S
0,732,"Hassan, Mr. Houssein G N",0,11,3,18.7875,C
0,733,"Knight, Mr. Robert J",0,,2,0,S
0,734,"Berriman, Mr. William John",0,23,2,13,S
0,735,"Troupiansky, Mr. Moses Aaron",0,23,2,13,S
0,736,"Williams, Mr. Leslie",0,28.5,3,16.1,S
0,737,"Ford, Mrs. Edward (Margaret Ann Watson)",1,48,3,34.375,S
1,738,"Lesurer, Mr. Gustave J",0,35,1,512.3292,C
0,739,"Ivanoff, Mr. Kanio",0,,3,7.8958,S
0,740,"Nankoff, Mr. Minko",0,,3,7.8958,S
1,741,"Hawksford, Mr. Walter James",0,,1,30,S
0,742,"Cavendish, Mr. Tyrell William",0,36,1,78.85,S
1,743,"Ryerson, Miss. Susan Parker ""Suzette""",1,21,1,262.375,C
0,744,"McNamee, Mr. Neal",0,24,3,16.1,S
1,745,"Stranden, Mr. Juho",0,31,3,7.925,S
0,746,"Crosby, Capt. Edward Gifford",0,70,1,71,S
0,747,"Abbott, Mr. Rossmore Edward",0,16,3,20.25,S
1,748,"Sinkkonen, Miss. Anna",1,30,2,13,S
0,749,"Marvin, Mr. Daniel Warner",0,19,1,53.1,S
0,750,"Connaghton, Mr. Michael",0,31,3,7.75,Q
1,751,"Wells, Miss. Joan",1,4,2,23,S
1,752,"Moor, Master. Meier",0,6,3,12.475,S
0,753,"Vande Velde, Mr. Johannes Joseph",0,33,3,9.5,S
0,754,"Jonkoff, Mr. Lalio",0,23,3,7.8958,S
1,755,"Herman, Mrs. Samuel (Jane Laver)",1,48,2,65,S
1,756,"Hamalainen, Master. Viljo",0,0.67,2,14.5,S
0,757,"Carlsson, Mr. August Sigfrid",0,28,3,7.7958,S
0,758,"Bailey, Mr. Percy Andrew",0,18,2,11.5,S
0,759,"Theobald, Mr. Thomas Leonard",0,34,3,8.05,S
1,760,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",1,33,1,86.5,S
0,761,"Garfirth, Mr. John",0,,3,14.5,S
0,762,"Nirva, Mr. Iisakki Antino Aijo",0,41,3,7.125,S
1,763,"Barah, Mr. Hanna Assi",0,20,3,7.2292,C
1,764,"Carter, Mrs. William Ernest (Lucile Polk)",1,36,1,120,S
0,765,"Eklund, Mr. Hans Linus",0,16,3,7.775,S
1,766,"Hogeboom, Mrs. John C (Anna Andrews)",1,51,1,77.9583,S
0,767,"Brewe, Dr. Arthur Jackson",0,,1,39.6,C
0,768,"Mangan, Miss. Mary",1,30.5,3,7.75,Q
0,769,"Moran, Mr. Daniel J",0,,3,24.15,Q
0,770,"Gronnestad, Mr. Daniel Danielsen",0,32,3,8.3625,S
0,771,"Lievens, Mr. Rene Aime",0,24,3,9.5,S
0,772,"Jensen, Mr. Niels Peder",0,48,3,7.8542,S
0,773,"Mack, Mrs. (Mary)",1,57,2,10.5,S
0,774,"Elias, Mr. Dibo",0,,3,7.225,C
1,775,"Hocking, Mrs. Elizabeth (Eliza Needs)",1,54,2,23,S
0,776,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",0,18,3,7.75,S
0,777,"Tobin, Mr. Roger",0,,3,7.75,Q
1,778,"Emanuel, Miss. Virginia Ethel",1,5,3,12.475,S
0,779,"Kilgannon, Mr. Thomas J",0,,3,7.7375,Q
1,780,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1,43,1,211.3375,S
1,781,"Ayoub, Miss. Banoura",1,13,3,7.2292,C
1,782,"Dick, Mrs. Albert Adrian (Vera Gillespie)",1,17,1,57,S
0,783,"Long, Mr. Milton Clyde",0,29,1,30,S
0,784,"Johnston, Mr. Andrew G",0,,3,23.45,S
0,785,"Ali, Mr. William",0,25,3,7.05,S
0,786,"Harmer, Mr. Abraham (David Lishin)",0,25,3,7.25,S
1,787,"Sjoblom, Miss. Anna Sofia",1,18,3,7.4958,S
0,788,"Rice, Master. George Hugh",0,8,3,29.125,Q
1,789,"Dean, Master. Bertram Vere",0,1,3,20.575,S
0,790,"Guggenheim, Mr. Benjamin",0,46,1,79.2,C
0,791,"Keane, Mr. Andrew ""Andy""",0,,3,7.75,Q
0,792,"Gaskell, Mr. Alfred",0,16,2,26,S
0,793,"Sage, Miss. Stella Anna",1,,3,69.55,S
0,794,"Hoyt, Mr. William Fisher",0,,1,30.6958,C
0,795,"Dantcheff, Mr. Ristiu",0,25,3,7.8958,S
0,796,"Otter, Mr. Richard",0,39,2,13,S
1,797,"Leader, Dr. Alice (Farnham)",1,49,1,25.9292,S
1,798,"Osman, Mrs. Mara",1,31,3,8.6833,S
0,799,"Ibrahim Shawah, Mr. Yousseff",0,30,3,7.2292,C
0,800,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",1,30,3,24.15,S
0,801,"Ponesell, Mr. Martin",0,34,2,13,S
1,802,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",1,31,2,26.25,S
1,803,"Carter, Master. William Thornton II",0,11,1,120,S
1,804,"Thomas, Master. Assad Alexander",0,0.42,3,8.5167,C
1,805,"Hedman, Mr. Oskar Arvid",0,27,3,6.975,S
0,806,"Johansson, Mr. Karl Johan",0,31,3,7.775,S
0,807,"Andrews, Mr. Thomas Jr",0,39,1,0,S
0,808,"Pettersson, Miss. Ellen Natalia",1,18,3,7.775,S
0,809,"Meyer, Mr. August",0,39,2,13,S
1,810,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,33,1,53.1,S
0,811,"Alexander, Mr. William",0,26,3,7.8875,S
0,812,"Lester, Mr. James",0,39,3,24.15,S
0,813,"Slemen, Mr. Richard James",0,35,2,10.5,S
0,814,"Andersson, Miss. Ebba Iris Alfrida",1,6,3,31.275,S
0,815,"Tomlin, Mr. Ernest Portage",0,30.5,3,8.05,S
0,816,"Fry, Mr. Richard",0,,1,0,S
0,817,"Heininen, Miss. Wendla Maria",1,23,3,7.925,S
0,818,"Mallet, Mr. Albert",0,31,2,37.0042,C
0,819,"Holm, Mr. John Fredrik Alexander",0,43,3,6.45,S
0,820,"Skoog, Master. Karl Thorsten",0,10,3,27.9,S
1,821,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",1,52,1,93.5,S
1,822,"Lulic, Mr. Nikola",0,27,3,8.6625,S
0,823,"Reuchlin, Jonkheer. John George",0,38,1,0,S
1,824,"Moor, Mrs. (Beila)",1,27,3,12.475,S
0,825,"Panula, Master. Urho Abraham",0,2,3,39.6875,S
0,826,"Flynn, Mr. John",0,,3,6.95,Q
0,827,"Lam, Mr. Len",0,,3,56.4958,S
1,828,"Mallet, Master. Andre",0,1,2,37.0042,C
1,829,"McCormack, Mr. Thomas Joseph",0,,3,7.75,Q
1,830,"Stone, Mrs. George Nelson (Martha Evelyn)",1,62,1,80,
1,831,"Yasbeck, Mrs. Antoni (Selini Alexander)",1,15,3,14.4542,C
1,832,"Richards, Master. George Sibley",0,0.83,2,18.75,S
0,833,"Saad, Mr. Amin",0,,3,7.2292,C
0,834,"Augustsson, Mr. Albert",0,23,3,7.8542,S
0,835,"Allum, Mr. Owen George",0,18,3,8.3,S
1,836,"Compton, Miss. Sara Rebecca",1,39,1,83.1583,C
0,837,"Pasic, Mr. Jakob",0,21,3,8.6625,S
0,838,"Sirota, Mr. Maurice",0,,3,8.05,S
1,839,"Chip, Mr. Chang",0,32,3,56.4958,S
1,840,"Marechal, Mr. Pierre",0,,1,29.7,C
0,841,"Alhomaki, Mr. Ilmari Rudolf",0,20,3,7.925,S
0,842,"Mudd, Mr. Thomas Charles",0,16,2,10.5,S
1,843,"Serepeca, Miss. Augusta",1,30,1,31,C
0,844,"Lemberopolous, Mr. Peter L",0,34.5,3,6.4375,C
0,845,"Culumovic, Mr. Jeso",0,17,3,8.6625,S
0,846,"Abbing, Mr. Anthony",0,42,3,7.55,S
0,847,"Sage, Mr. Douglas Bullen",0,,3,69.55,S
0,848,"Markoff, Mr. Marin",0,35,3,7.8958,C
0,849,"Harper, Rev. John",0,28,2,33,S
1,850,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",1,,1,89.1042,C
0,851,"Andersson, Master. Sigvard Harald Elias",0,4,3,31.275,S
0,852,"Svensson, Mr. Johan",0,74,3,7.775,S
0,853,"Boulos, Miss. Nourelain",1,9,3,15.2458,C
1,854,"Lines, Miss. Mary Conover",1,16,1,39.4,S
0,855,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",1,44,2,26,S
1,856,"Aks, Mrs. Sam (Leah Rosen)",1,18,3,9.35,S
1,857,"Wick, Mrs. George Dennick (Mary Hitchcock)",1,45,1,164.8667,S
1,858,"Daly, Mr. Peter Denis ",0,51,1,26.55,S
1,859,"Baclini, Mrs. Solomon (Latifa Qurban)",1,24,3,19.2583,C
0,860,"Razi, Mr. Raihed",0,,3,7.2292,C
0,861,"Hansen, Mr. Claus Peter",0,41,3,14.1083,S
0,862,"Giles, Mr. Frederick Edward",0,21,2,11.5,S
1,863,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",1,48,1,25.9292,S
